height,year
157.2,1870
158.1,1870
158.3,1870
159,1870
159.1,1870
159.5,1870
161.1,1870
161.3,1870
161.5,1870
162.5,1870
162.6,1870
163.4,1870
163.5,1870
163.7,1870
163.8,1870
164.6,1870
164.7,1870
164.8,1870
165.1,1870
165.2,1870
165.4,1870
165.5,1870
165.6,1870
165.7,1870
165.8,1870
166.3,1870
166.4,1870
166.5,1870
166.6,1870
166.7,1870
166.8,1870
166.9,1870
167,1870
167.1,1870
167.2,1870
167.3,1870
167.6,1870
167.8,1870
168,1870
168.1,1870
168.2,1870
168.3,1870
168.4,1870
168.5,1870
169.7,1870
169.8,1870
169.9,1870
170.1,1870
170.3,1870
170.4,1870
171.1,1870
171.2,1870
172.4,1870
156,1970
160.3,1970
162.7,1970
163.1,1970
163.9,1970
164.3,1970
164.6,1970
165.3,1970
165.5,1970
166.2,1970
166.7,1970
166.8,1970
167,1970
167.2,1970
167.4,1970
167.5,1970
167.8,1970
167.9,1970
168.5,1970
168.6,1970
168.8,1970
168.9,1970
169,1970
169.6,1970
169.7,1970
169.9,1970
170,1970
170.2,1970
170.3,1970
170.5,1970
170.6,1970
170.9,1970
171.2,1970
171.3,1970
171.4,1970
171.6,1970
171.7,1970
171.9,1970
172,1970
172.2,1970
172.3,1970
172.5,1970
172.8,1970
173.5,1970
173.8,1970
174.1,1970
174.7,1970
175.1,1970
175.2,1970
176.4,1970
177,1970
177.1,1970
177.5,1970
178.3,1970
178.4,1970
178.7,1970
178.8,1970
179.2,1970
179.4,1970
179.5,1970
179.6,1970
180,1970
180.8,1970
182.3,1970
