COUNTRYNEW,MH7A,,,country,Ireland,Switzerland,UAE,Norway,US
United States,2,,,have been,167,151,178,177,162
United States,2,,,have not,823,826,799,821,839
United States,2,,,DK/refuse,10,23,25,2,0
United States,2,,,Total,1000,1000,1002,1000,1001
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,s,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,1,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,1,,,,,,,,
United States,1,,,,,,,,
United States,1,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
United States,2,,,,,,,,
